A as well as B,B뿐만 아니라 A도
a good/great deal of,아주 많은 양의 ~
a good/great/large number of,아주 많은 수의 ~
a great many of,아주 많은 수의 ~
A is one thing B is another,A와 B는 별개의 문제이다
A is 배수 as ~ as B,A는 B의 ~배 ~하다
a lot/number of,많은
A only to,A 했지만 ~ 했다
abide by,지키다/ 준수하다
above all,무엇보다도
above all (things),무엇보다도
abstain from,～을 삼가다
according to /according as+절,～에 따라서/ ～에 의하면
account for,설명하다
achieve greatness,위업을 달성하다
act on,~에 작용하다/ ~에 영향을 미치다
add to,증가시키다
adhere to,～을 고수하다/ 들러붙다
after a while,잠시 후에
after all,결국/ ～에도 불구하고
after school,방과 후에
again and again,반복해서
against one's will,~의 의지에 반하여
agree to,동의하다(의견)
agree to＋사물,～에 동의하다
agree with,~와 일치하다/ ~에 동의하다(사람)
agree with＋사람,동의하다/ 적합하다
ahead of,~의 앞에
all afternoon,오후 내내
all along,쭉/ 처음부터
all at once,갑자기
all but,거의
all day (long),온종일
all of a sudden,갑자기
all one’s life,평생 동안
all over the country,전국 각지에
all the better for,~때문에 더욱 더 좋아진
all the same,그래도/ 역시
all the time,항상
all the way,계속해서/ 줄곧
all year round,일 년 내내
allow ~ to,~에게 ~ 하는 것을 허락하다
and so on,～ 등등/ 따위
answer for,책임지다
anything but,결코 ～이 아닌
apart (or aside) from,～은 별도로 하고
apply for,～에 지원하다
apply oneself to,～에 전념하다
apply to,～에 적용되다
appoint A to B,A를 B에 임명하다
apt to,～하기 쉬운
arrive at,~에 도착하다(좁은 장소)
arrive in,~에 도착하다(넓은 장소)
as ~ as ~ can,가능한 한 ~
as ~ as ever,여전히
as ~ as possible,될 수 있는 대로
as a matter of fact,사실
as a result,그 결과로
as a rule,통상/ 대체로
as far as,~하는 한 (범위)
as far as the eye can see,(눈이 볼 수 있는 한) 끝없이 펼쳐진
as for,～에 관하여 말하면
as good as,사실상/ ～과 같은
as if,마치 ~인 듯이
as it were,말하자면
as likely as not,아마
as long as,~하는 동안(기간)
as obvious as,~만큼 명백한
as regards,～에 관하여
as soon as,~ 하자마자 곧
as such,보통 말하는 그런
as the same time,동시에/ 한꺼번에
as though,마치 ~인 것처럼
as to+명사,~에 관해서
as usual,평소와 다름없이
as varied as,~만큼 다양한
as well,또한/ 역시
as yet,이제껏/ 아직까지
ask ~ to,~에게 ~ 하는 것을 요구하다
ask after,안부를 묻다
ask for,~을 요구하다
at a loss,어쩔줄을 몰라서
at all,전혀 (부정문에서)
at all costs,어떤 일이 있어도/ 꼭
at all events,어떤 경우라도
at any rates,어쨌든
at any time,언제라도
at best,아무리 잘해야
at birth,태어났을 때(에는)
at ease,쉬어!
at first,처음에는
at first hand,직접적으로
at hand,가까이
at home,편안한
at its height,그것의 절정기에/ 한창때에
at large,대개/ 상세히
at last,드디어
at least,적어도/ 어쨌든
at length,드디어/ 상세히
at liberty,자유로운
at most,기껏해야
at once,즉시/ 동시에
at once A and B,A이기도 하고 B이기도 한
at one's disposal,누구 마음대로 쓸 수 있는
at one's fingers' ends,～에 정통한
at one's wits' end,당황하여
at present,현재는
at random,함부로/ 닥치는 대로
at rest,움직이지 않는/ 정지해 있는
at second hand,간접적으로
at stake,성패가 달려있는/ 위태로운
at that time,그때
at the age of,~의 나이에
at the bottom of,~의 바닥에서
at the mercy of,～에 좌우되어
at the risk of,위험을 무릅쓰고
at the same time,동시에
at this time of year,연중 이맘때
at times,가끔
at work,작업 중의
attach oneself to,~에 달라붙다/ ~에 들러붙다
attempt to,~하려고 시도하다
attend on,시중들다
attend to,～에 주의하다
